text,year,period,genre,source,gpt_transitivity,gpt_causativity,gpt_subject_animacy,gpt_subject_role,gpt_pos,gpt_subject,gpt_verb,gpt_object
". Elivin, did ye say? "" "" Elivin, "" answered Jimmy, breaking into a jig, supposedly to keep his feet warm, in reality because he",1907,1900-09,FIC,FootRainbow,intransitive,anticausative,animate,agent,verb,Jimmy,breaking,
"happen, for nobody could exactly find out. So I think I had better break off again from Pony, and say what it was that Frank told; and",1902,1900-09,FIC,FlightPonyBaker,intransitive,anticausative,animate,agent,verb,I,break,
"have to be an affidavit. "" The sound of the arrival of another carriage broke upon Mrs. Swinton's ear, and she listened in some surprise. "" Why",1909,1900-09,FIC,ScarletFeather,intransitive,anticausative,inanimate,patient,verb,the sound of the arrival of another carriage,broke,upon Mrs. Swinton's ear
". "" Where's the girl who threw Sarah Ford from the swing, and broke her ankle? "" "" Why, "" stammered Miss Ellis, "" I have",1908,1900-09,FIC,DorothyDaleGirl,transitive,causative,animate,agent,verb,the girl,broke,her ankle
are not in reality lazy; they are improvident and careless; they insist on breaking the monotony of toil with a glimpse at the great town-world on Saturday; they,1903,1900-09,NF/ACAD,SoulsBlackFolk,intransitive,anticausative,animate,agent,verb,they,breaking,
"with some pretty, young, green, innocent girl and enjoy the fun of breaking her in. They are skilled in that art. "" CHAPTER XI. SAUNDERS",1902,1900-09,FIC,CaliforniaGirl,transitive,causative,animate,agent,verb,They,break,her
were streaming down his pallid face and the sorrow of a lifetime seemed about to break the bonds of human endurance. Major Dale put his hand on the other's,1908,1900-09,FIC,DorothyDaleGirl,transitive,causative,inanimate,agent,verb,the sorrow of a lifetime,break,the bonds of human endurance
"automobiles, past, present, and to come. "" "" Same way they break a colt. Get him used to the harness, then to shafts, and",1909,1900-09,FIC,OldRoseSilver,transitive,causative,animate,agent,verb,they,break,a colt
"ready to let him have it. Arms were lacking, and some young men broke open the door of the magazine to see if any were there. As they",1904,1900-09,NF/ACAD,HistoricalTales,transitive,causative,animate,agent,verb,some young men,broke open,the door of the magazine
she knew all about his attentions to Miss Rossmore -- she was not going to break her heart about it. So she continued to flirt secretly with the Honourable Fitzroy,1906,1900-09,FIC,LionMouseStory,intransitive,anticausative,animate,agent,verb,she,break,
"this time they were led by one who had been trained in English steadfastness. Broken for the moment, they rallied and came on yelling, bearing logs, thick",1900,1900-09,FIC,HaveHold,intransitive,anticausative,animate,patient,verb,they,break,
"where the next day's sustenance may come from! That she "" -- He broke off abruptly, gazing at his companion half-apologetically. "" We players, sir,",1902,1900-09,FIC,Strollers,intransitive,anticausative,animate,agent,verb,He,broke,
wheel goes round and round. For my brother's sake the charm I'll break! Prince Hero shall be found. Spin! Sing! The golden thread Gleams,1902,1900-09,FIC,LittleColonels,transitive,causative,animate,agent,verb,I,break,the charm
clear your mother and yourself; you may get Timmins' evidence for us to break up this smuggling gang. There'll be a big reward there! I will,1900,1900-09,FIC,MidnightPassenger,transitive,causative,animate,agent,verb,us,break,this smuggling gang
"California, and I swore I would never play cards again. Last night I broke my oath. "" "" What was the cause of your father's death?",1902,1900-09,FIC,FrankMerriwells,transitive,causative,animate,agent,verb,I,broke,my oath
"out came two flying-squirrels. On the tree being given a vigorous shake, it broke off, at the hole, and the squirrels went sliding down the air to",1903,1900-09,MAG,Century,intransitive,anticausative,inanimate,patient,verb,it,broke,
""" I believe you are right, "" he observed, coolly. "" Swords break no bones. "" "" I will get a surgeon, "" said the other",1902,1900-09,FIC,Strollers,intransitive,anticausative,inanimate,patient,verb,swords,break,
"the major anxiously expecting them. He feared something had happened -- the press might break down, or the paper supply give out, Many things might occur when the",1908,1900-09,FIC,DorothyDaleGirl,intransitive,anticausative,inanimate,patient,verb,the press,break,
"I don't know what's passed between you and Harvey --' And she broke in, and says she: ""' No! no! you don't",1907,1900-09,FIC,AuntJaneKentucky,intransitive,anticausative,animate,agent,verb,she,broke in,
"seemed almost apoplectic in its results. There was a deep, premonitory stillness, broken only by the precentor, who covertly struck his tuning-fork on the round of his",1905,1900-09,FIC,WizardsDaughter,intransitive,anticausative,inanimate,patient,verb,stillness,broken,
"pages'. Sufficient that he introduced a new spirit into English law, and broke, once and for all, the old black-letter chain which Coke had riveted.",1901,1900-09,MAG,Atlantic,transitive,causative,animate,agent,verb,he,broke,the old black-letter chain
"voice, "" thou' lt show me a certain tree, "" and she broke into silvery laughter. She laughed until we had left behind the guest house and",1900,1900-09,FIC,HaveHold,intransitive,anticausative,animate,agent,verb,she,broke,
"'s character, rob him of his home, corrupt his children. You can break your wife's heart, be cruel, revengeful; you can lie and be",1908,1900-09,FIC,PeterNovelWhich,transitive,causative,animate,agent,verb,you,break,your wife's heart
"advantage of famine to sell agricultural produce to their peasants at starvation prices, to break the agreements which they had made with them, and to evade contributing to save",1906,1900-09,MAG,Atlantic,transitive,causative,animate,agent,verb,they,break,the agreements
"chair, she added her sobs to those of Fanny, which had begun to break plaintively upon the tragic silence. Margaret raised her glance from the floor, in",1900,1900-09,FIC,PhilipWinwood,intransitive,anticausative,inanimate,patient,verb,sobs,break,
"and fired, line upon line. Under that terrible fire, the British column broke and paused, then surged forward again, almost to the foot of the breastworks",1909,1900-09,NF/ACAD,AmericanMenAction,intransitive,anticausative,inanimate,patient,verb,the British column,broke,
but at the North; was involved in Hull' s surrender of Detroit and broke his sword in rage at the disgrace of it; and was afterwards governor of,1909,1900-09,NF/ACAD,AmericanMenAction,intransitive,anticausative,animate,agent,verb,he,broke,his sword
"if you don't want him to? "" The young man reached up and broke off a twig of the round, pink crab-apple buds and rolled the stem between",1905,1900-09,FIC,WizardsDaughter,transitive,causative,animate,agent,verb,The young man,broke,"a twig of the round, pink crab-apple buds"
"with a resounding clang, awoke Randall Clayton from day dreams which he dared not break off. The office boy had not returned when Clayton, now on guard against",1900,1900-09,FIC,MidnightPassenger,transitive,causative,animate,agent,verb,he,break,off
"stimulated; form as well as color is rapidly modified; the old order is broken up, and the animal conies to partake more or less of his bizarre life",1905,1900-09,MAG,Atlantic,intransitive,anticausative,inanimate,patient,verb,the old order,broken up,
"exaggerated. Everything showed marks of a struggle. Some of the ornaments had been broken, and the coffin itself had been forced open. "" I have had things",1909,1900-09,FIC,MotorBoysOnPacific,intransitive,anticausative,inanimate,patient,verb,Some of the ornaments,broken,
"down in the arroyo. More than that -- Where's Hay? "" he broke off suddenly, for voices were sounding in the adjoining room. "" Here,",1902,1900-09,FIC,DaughterSioux,intransitive,anticausative,animate,agent,verb,he,broke,
"is your overweening vanity again, "" she commented. "" I'm going to break y'u, my beauty, so that y'u'll come running when I snap my",1908,1900-09,FIC,WyomingStoryOutdoor,transitive,causative,animate,agent,verb,I,break,y'u
"and -- "" "" You shared your lunch with me at school, "" he broke in. "" And you dug me a little garden all yourself -- "" """,1900,1900-09,FIC,VoicePeople,intransitive,anticausative,animate,agent,verb,he,broke in,
"lately, with Fanny. "" "" But I never told her! "" he broke in. "" Exactly. That was what told me. I understood you through",1906,1900-09,FIC,MadameDeTreymes,intransitive,anticausative,animate,agent,verb,he,broke in,
"little limb o' Satan! That's my best platter, is it? Broke all to bits, eh? I'll break -- "" But there was a",1906,1900-09,FIC,VerySmallPerson,transitive,causative,animate,agent,verb,I,break,best platter
"had previously been in his captor's face. At length the tense silence was broken: "" Wasn't the old game good enough? Was it played out?",1909,1900-09,FIC,NorthernLights,intransitive,anticausative,inanimate,patient,verb,the tense silence,broken,
"her face with water from a goblet. Presently, as if his thoughts had broken unconsciously into words, Ivan muttered, in a low, expressionless voice: """,1906,1900-09,FIC,Genius,intransitive,anticausative,inanimate,patient,verb,his thoughts,broken,
"you like I'll go up and tell your grandmother, "" said Craig, breaking the silence as they neared the hotel. But Margaret's brain had resumed its",1909,1900-09,FIC,FashionableAdventures,intransitive,anticausative,animate,agent,verb,Craig,breaking,the silence
"and he had lost. His high pride had been humbled, his fierce spirit broken. No more did the course hold for him any pleasure, no more could",1903,1900-09,FIC,HorsesNine,intransitive,anticausative,inanimate,patient,verb,his fierce spirit,broken,
"are founded' would no doubt be realized by any lessor company that undertook to break its lease. NO. XI. ""' Excessive Charge for New Construction in",1903,1900-09,NEWS,NYT-Reg,transitive,causative,animate,agent,verb,any lessor company,break,its lease
"the uniform of a common soldier. "" Judith! "" This time the voice broke a little, and for a moment Judith stood * * 25; 3781;",1900,1900-09,FIC,Crittenden,intransitive,anticausative,inanimate,patient,verb,the voice,broke,
". It's all right. I hope you'll be happy -- "" He broke off with quivering lips. "" I shall never be happy, "" she said",1905,1900-09,FIC,TyrannyDark,intransitive,anticausative,animate,agent,verb,He,broke,
"-- Plant. Anna? Doctor. Anatomical model. Look out, you'll break it -- and these things cost money, you know. Plant. I accept",1904,1900-09,FIC,Oh!Susannah!,transitive,causative,animate,agent,verb,you,break,it
"Northern Pacific's $80,000,000 stock. The movement came to an end when the markets broke down m May, 1901, under the load of new securities Efforts of the",1906,1900-09,MAG,Nation,intransitive,anticausative,inanimate,patient,verb,the markets,broke,
"exclaimed, in an undertone, and pointing to a spot where a fish had broken the still surface as he leaped for a fly and plunged back again into the",1900,1900-09,FIC,RedemptionDavid,intransitive,anticausative,inanimate,patient,verb,a fish,broken,
", and it was as if he had enshrouded himself in silence not to be broken. With reluctance Don Ruy went up the ladder and left him there. The",1909,1900-09,FIC,FluteGods,intransitive,anticausative,inanimate,patient,verb,silence,broken,
"have been promenading during the end of this scene, and the speeches have been broken, interrupted, and continued, etc., as GERALDINE and TILBURY have made way",1902,1900-09,FIC,Play:Stubbornness,intransitive,anticausative,inanimate,patient,verb,the speeches,broken,
"? I am Mrs. Eppingwell, and -- "" "" There! "" the other broke in sharply. "" You are the wife of a captain, who is therefore",1903,1900-09,FIC,WindInRose-bush,intransitive,anticausative,animate,agent,verb,the other,broke in,
"battlefield, on which the partisans of Italian, Franch,' and German opera broke each others' heads. But one day Maur -- ce Grau had the goad",1905,1900-09,MAG,Nation,intransitive,anticausative,animate,agent,verb,"the partisans of Italian, Franch, and German opera",broke,each others' heads
"pet and himself -- -- "" "" No more of that, sir, "" broke in the colonel angrily, "" unless you are ready to prove your words.",1909,1900-09,FIC,LanierCavalry,intransitive,causative,animate,agent,verb,the colonel,broke in,
"addressed. Barbie had a bit of a headache,' cause her cinch had broke that mornin' while she was havin' a little argument with a bad-actor;",1909,1900-09,FIC,HappyHawkins,intransitive,anticausative,inanimate,patient,verb,her cinch,broke,
""" Helen looked at her aunt for a moment, and then the irrepressible smile broke out. "" What is the matter, child? "" asked the other.",1901,1900-09,FIC,KingMidasRomance,intransitive,anticausative,inanimate,patient,verb,the irrepressible smile,broke,
"Ow, ow, ow! Oh, my foot! Oh, it's broken; I know it is! Oh, run for the doctor, do,",1902,1900-09,FIC,FlightPonyBaker,intransitive,anticausative,inanimate,patient,verb,it,broken,
"me out on the very edge of the bough, clutching at the twigs that broke continually with my weight. Twenty feet beneath me was the earth. Wildly and",1906,1900-09,FIC,BeforeAdam,intransitive,anticausative,inanimate,patient,verb,twigs,broke,
", the wooden stem being inserted on occasion by the smoker. The danger of breaking clays in the pocket was thus greatly reduced. Carved I 5 2 The Soverane",1901,1900-09,NF/ACAD,SoveraneHerbe,intransitive,anticausative,inanimate,patient,verb,clays,breaking,
"fire. It seemed that he was not going to answer and the little girl broke in: "" Hit's my cousin Dave -- he lives over on the Nawth",1908,1900-09,FIC,TrailLonesomePine,intransitive,anticausative,animate,agent,verb,the little girl,broke in,
"wagon and several police officials. Patrolman Trafton caught the gang in the act of breaking into Deputy Sheriff Ed Lee's house in Monroe street, opposite Jefferson Park,",1900,1900-09,NEWS,Chicago,intransitive,anticausative,animate,agent,verb,the gang,breaking,
", "" he said. "" Then there'll be no danger if the fire breaks out again. "" "" I'll guarantee that fire won't break out again",1909,1900-09,FIC,YoungFiremenLakeville,intransitive,anticausative,inanimate,patient,verb,the fire,breaks out,
"I'll have mine, "" said Mrs. Maxim, and taking a broom she broke the handle of it over his head, and he ran. At another time",1906,1900-09,MAG,Cosmopolitan,transitive,causative,animate,agent,verb,she,broke,the handle of it
"to keep up the pretence of indifference. His nerves were shattered, his spirit broken. Retribution was dogging him hard. Vengeance was close at hand at last.",1903,1900-09,FIC,SirHenryMorgan,intransitive,anticausative,inanimate,patient,verb,his spirit,broken,
"KATE If I say yes to you this time, Amos, I shall not break my word. AMOS Then hurry up and say it. (Door opens and",1907,1900-09,FIC,Play:CupidAtVassar,intransitive,anticausative,animate,agent,verb,I,break,
had been swaying dangerously in the rising gale; now with a loud crack it broke off close to the ground and fell so that the wires were brought into naked,1906,1900-09,FIC,Doomsman,intransitive,anticausative,inanimate,patient,verb,it,broke,
"white-frocked girl, who was holding him tenderly and sobbing as if her heart would break. "" W-w-wh-where' m I a-at? Who's a-c-c-cr-cry -- in'?",1905,1900-09,FIC,BrassBoundBox,intransitive,anticausative,inanimate,patient,verb,her heart,break,
"reply, and fell to pounding so vigorously that she thought the glass would surely break. But it did not; after a while the window flew up and an",1909,1900-09,FIC,FashionableAdventures,intransitive,anticausative,inanimate,patient,verb,the glass,break,
"'ll leave whatever is in' Spite House' for your use, and not break up Fairacres at all. "" "" Is it still furnished, then? """,1900,1900-09,FIC,ReelsSpindles<,intransitive,anticausative,animate,agent,verb,you,break,
"geological time and changed the contour of the continent By the same great cataclysm which broke up the "" fountains of the great deep, "" according to the Scripture,",1902,1900-09,MAG,Harpers,intransitive,anticausative,inanimate,patient,verb,geological time,break,
"would be quite the proper, story-book sort of thing for you to try and break my neck, as a punishment, since I'm almost running away. """,1900,1900-09,FIC,ReelsSpindles<,transitive,causative,animate,agent,verb,you,break,my neck
"It certainly looks like a big fire, "" thought the boy, as he broke into a run down the street. He soon caught up with the crowd hastening",1909,1900-09,FIC,YoungFiremenLakeville,intransitive,anticausative,animate,agent,verb,he,broke,
"securing a revolver, they started down stairs. The thieves heard them coming, broke a window, through which they escaped, and started off in the direction of",1902,1900-09,NEWS,NYT-Reg,intransitive,anticausative,animate,agent,verb,the thieves,broke,a window
"-- you just stood there and watched everything that I was doing. "" He broke off, taking one of his restless turns down the long room. Then he",1903,1900-09,FIC,Sanctuary,intransitive,anticausative,animate,agent,verb,he,broke,
"upon a pillow of moss. The stillness of the cool, quiet evening was broken only by the crackling of the flames, the quiet murmurs of the two little",1900,1900-09,FIC,RedemptionDavid,intransitive,anticausative,inanimate,patient,verb,"the stillness of the cool, quiet evening",broken,
"'ll get something dacent for dinner. "" Dannie turned a spadeful of earth and broke it open, and Jimmy squatted by the can, and began picking out the",1907,1900-09,FIC,FootRainbow,transitive,causative,animate,agent,verb,Dannie,broke,it
"-- who knows if we shall ever see the moon of blossoms? "" I broke off with a laugh for my own weakness. "" It's not often that",1900,1900-09,FIC,HaveHold,intransitive,anticausative,animate,agent,verb,I,broke,
"extension of Mrs. Davant's claims. "" I can't explain, "" he broke off. Mrs. Davant in turn addressed herself to Claudia. "" People think it",1901,1900-09,FIC,CrucialInstances,intransitive,anticausative,animate,agent,verb,he,broke off,
"// in Church history as the "" War of the Iconoclasts, ""? which broke out in the eighth century between the Greek churches of the East and the Latin",1906,1900-09,NF/ACAD,GeneralHistory,intransitive,anticausative,inanimate,patient,verb,War of the Iconoclasts,broke,
"tool marks in the lettering, and at last to open cracks and seams and break down the stone. We may notice also whether the gravestones weather more rapidly on",1905,1900-09,NF/ACAD,ElementsGeology,transitive,causative,inanimate,agent,verb,tool marks,break,the stone
"a daily prayer, and it had come from an old man -- wounded, broken in health and heart, and her father. Hale's face was before her",1908,1900-09,FIC,TrailLonesomePine,intransitive,anticausative,inanimate,patient,verb,a daily prayer,break,
"; only she could not stay so long in the water when they had to break the ice to let her in. Any day, from morning to evening in",1905,1900-09,FIC,FairyTalesEvery,transitive,causative,animate,agent,verb,they,break,the ice
"afraid you'll find it's only since I've been here that Janet has broken loose and taken in an extra copy.'' Oh, it's on",1907,1900-09,FIC,Convert,intransitive,anticausative,inanimate,patient,verb,Janet,broken,
"plucking at the roses again. "" I wish I might flirt, "" she broke out suddenly. I grasped the marble rail for support. "" Don't look",1906,1900-09,FIC,ColonelRedHuzzars,intransitive,anticausative,animate,agent,verb,she,broke,
"him. But now he seemed to have taken himself quite away, to have broken every fibre by which their lives had hung together. Where the sense of him",1903,1900-09,FIC,Sanctuary,intransitive,anticausative,animate,agent,verb,he,broken,
"and trust to me. You shall come to me as soon as I can break my bonds. It shall be then you and I, for the rest of",1900,1900-09,FIC,MidnightPassenger,intransitive,anticausative,animate,agent,verb,I,break,my bonds
"but he had to set his teeth hard, hard, or he would have broken down crying. "" If it's for that, you mustn't, Pony",1902,1900-09,FIC,FlightPonyBaker,intransitive,anticausative,animate,patient,verb,he,broken,
"would stop her in her tracks and send her into dreamland. Hale had just broken a crimson flower from its stem and held it out to her. "" Here",1908,1900-09,FIC,TrailLonesomePine,transitive,causative,animate,agent,verb,Hale,broken,a crimson flower from its stem
""" incomparable and ingenious Dean of St. Paul's "" says, "" The day breaks not, it is my heart. "" I think Dr. Donne's case rather",1903,1900-09,FIC,PonkapogPapers,intransitive,anticausative,inanimate,patient,verb,the day,breaks,
"from the wheel. "" "" Upon which you were bound, ready to be broken for drunkenness, gaming, and loose living. I begged your life from Dale",1900,1900-09,FIC,HaveHold,intransitive,anticausative,inanimate,patient,verb,you,break,
"I -- I -- I jus' don't dast! But if I could break the law, as I've been teached it,' says he,'",1918,1910-19,FIC,HarborTalesDown,transitive,causative,animate,agent,verb,I,break,the law
") on the 13th. In tremendous massed attacks the Germans sought in vain to break through the British lines (Battle of Flanders, October 17 to November 15)",1918,1910-19,NF/ACAD,SchoolHistoryGreat,intransitive,causative,animate,agent,verb,the Germans,break,through the British lines
a very different thing from being a criminal. But I'm convinced that to break social laws -- and these laws about men and women have deeper than merely social,1911,1910-19,FIC,Tante,intransitive,anticausative,inanimate,agent,verb,to break social laws,break,
", black length, from a reservoir high up in the hills, had been broken here and there maliciously by some one who had traversed its length and with a",1912,1910-19,FIC,Plunderer,intransitive,anticausative,inanimate,patient,verb,black length,break,
"by anticipation perfect in mankind. Identity of moral being between God and man, broken by sin, seeks through the Gospel of reconciliation the reestablishment and the endless duration",1910,1910-19,MAG,Atlantic,intransitive,anticausative,inanimate,patient,verb,identity of moral being between God and man,break,
", J. was again up before daybreak, sure that he was on the doorstep breaking his heart because he could not get in. This time I followed into our",1910,1910-19,MAG,Atlantic,intransitive,anticausative,animate,agent,verb,he,breaking,
"according to the height, and according to whether it is to cut in or break more or less, to stop or to correct, to soothe, to sparkle",1912,1910-19,MAG,Scribners,intransitive,anticausative,inanimate,patient,verb,it,break,
"fluted in the Schumann Quartette, devoted to chamber music, but his asthma had broken up the club, and he now rarely essayed the instrument. Still, Amzi",1913,1910-19,FIC,OtherwisePhyllis,transitive,causative,inanimate,agent,verb,his asthma,broken up,the club
", "" suggested Sid. "" Tramps or something. "" "" Shucks, "" broke in John impatiently. "" You're all' fraid cats, that's what",1917,1910-19,FIC,SonCity AStory,intransitive,anticausative,animate,agent,verb,John,broke in,
", the one with the cherubic "" soprano "" voice that was just threatening to break into piping uselessness, had climbed to the top of the wall and dropped his",1919,1910-19,FIC,LittleMissBy-The-,intransitive,anticausative,animate,agent,verb,"the one with the cherubic ""soprano"" voice",break,
"was lightning, real lightning, and that the long delayed storm is going to break right now, when it's got us cooped up in this hole? """,1913,1910-19,FIC,SaddleBoysRockies,intransitive,anticausative,inanimate,patient,verb,storm,break,
"proving that the tremendous waterfall by which, according to the lamas, the Tsangpo breaks through the Himalayas is non-existent. Another interesting problem, whether there are one or",1914,1910-19,MAG,Nation,intransitive,anticausative,inanimate,patient,verb,the Tsangpo,breaks,through the Himalayas
"the youthful warrior; "" a little more haste and both of us would have broken our necks. "" "" Dot ish so, "" added Otto, emphatically;",1911,1910-19,FIC,LostTrail,intransitive,anticausative,animate,agent,verb,both of us,broken,our necks
"Er twice in my life, - - and first time was When the army broke out, and Jim he went, The old man backin' him, fer",1916,1910-19,FIC,SprayKentuckyPine,intransitive,anticausative,inanimate,patient,verb,the army,broke,
"It's my side, "" he said, "" I guess a rib's broken. "" He managed to walk to the clubhouse, where he was made as",1910,1910-19,NEWS,NYT-Reg,intransitive,anticausative,inanimate,patient,verb,a rib,broken,
"; and underneath the tree a little fountain shot upward a thin stream, which broke into a diamond shower and fell plashing back into a pool whose rim was outlined",1911,1910-19,FIC,EmersonsWifeOther,intransitive,anticausative,inanimate,patient,verb,a thin stream,broke,
"Take one of these brutes out of here, will you? My springs are breaking. "" "" I'll go! "" cried one lad as he caught sight",1910,1910-19,FIC,MotorGirls,intransitive,anticausative,inanimate,patient,verb,my springs,breaking,
"represented by the points M and N, though homogeneous above the temperature q, breaks up at a lower temperature, x', into two solutions; and,",1913,1910-19,NF/ACAD,MetallicAlloys,intransitive,anticausative,inanimate,patient,verb,the points M and N,breaks,
"thing to happen so suddenly, but it seems she has been very despondent and broke up about something or other for a week or two. They found her in",1914,1910-19,FIC,VandoverBrute,intransitive,anticausative,inanimate,patient,verb,thing,break,
"and shaken himself together. When he saw Otto in an inverted position, he broke into hearty laughter, hastened, no doubt, by the fact that Deerfoot was",1911,1910-19,FIC,LostTrail,intransitive,anticausative,animate,agent,verb,he,broke,
"depend upon the location, the amount of travel, or the danger of being broken by frost. The usual thickness in residence districts is three inches, with a",1916,1910-19,NF/ACAD,CivilEngineering,intransitive,anticausative,inanimate,patient,verb,"the amount of travel, or the danger of being broken by frost",break,
"'s fingers off with force enough to spatter the kitchen wall, it did not break the glass of a mirror hanging a few feet away, and had shattered only",1910,1910-19,NEWS,NYT-Reg,transitive,causative,inanimate,agent,verb,it,break,the glass of a mirror
"Anxiously he watched the eyelids quiver, the lips part. A sigh of relief broke from the chief, and he murmured softly: "" Little brother, you have",1917,1910-19,FIC,AdventuresPiang,intransitive,anticausative,inanimate,patient,verb,a sigh of relief,broke,
"the balance. But Bullock was not only obdurate, but obstreperous. Again he broke out in an act of violence which is described in a cry to high heaven",1915,1910-19,MAG,Harpers,intransitive,anticausative,animate,agent,verb,he,broke,
"life I had known, and the Dvina, it now turned out, never broke off at all. It was very curious that the Dvina should remain the same",1911,1910-19,MAG,Atlantic,intransitive,anticausative,inanimate,patient,verb,the Dvina,broke,
"that inside they have a brown, fluffy powder that flies all over when you break the puff ball. And, if you are not careful, it gets in",1917,1910-19,FIC,UncleWiggilyIn,transitive,causative,animate,agent,verb,you,break,the puff ball
"and morasses. San Marco has never been attacked since, for when our revolution broke out, Florida did not join the other colonies in their revolt against the British",1917,1910-19,MAG,Harpers,intransitive,anticausative,inanimate,patient,verb,our revolution,broke,
"boards in an eager, beneficent way as if he were blessing them. He broke out now and then into German hymns, as if this occupation brought back old",1918,1910-19,FIC,MyÁntonia,intransitive,anticausative,animate,agent,verb,he,broke,
a barrel of monkeys. I used to be a school teacher till my health broke down. Then I took this up and I've made more than expenses and,1917,1910-19,FIC,ParnassusOnWheels,intransitive,anticausative,inanimate,patient,verb,my health,broke down,
". Hope thought he must be some official of the road, and ventured to break the prolonged silence with a question: "" Could you tell me how long it",1910,1910-19,FIC,KeithBorder,intransitive,causative,animate,agent,verb,Hope,break,the prolonged silence
believe that in some way I was a millionaire myself. Somehow I managed to break the enthralling spell of the occasion enough to thank Mr. K. with genuine Oriental effusiveness,1914,1910-19,MAG,Atlantic,intransitive,anticausative,animate,agent,verb,I,break,the enthralling spell of the occasion
"be paid by the consumers. Such a system would be a long step toward breaking monopolies and lowering prices. Women voters, who will be called upon to help",1919,1910-19,MAG,GoodHouse,intransitive,anticausative,inanimate,agent,verb,such a system,break,
"stay in the alt until his gasoline -- runs- out.' He hopes to break every record Tor time and distance that has ever been made, and will.",1910,1910-19,NEWS,NYT-Reg,transitive,causative,animate,agent,verb,He,break,every record for time and distance that has ever been made
""" I'm the one who is responsible, you know. I've merely broken out in a new place. "" "" We appreciate your caring to include us",1917,1910-19,FIC,RedPeppersPatients,intransitive,anticausative,animate,agent,verb,I,broken,
"improve their fortunes.' "" If we cultivate that spirit of indifference, "" broke in the Editor, "" we shall soon reach a point of pusillanimity where we",1915,1910-19,MAG,Harpers,intransitive,causative,animate,agent,verb,the Editor,broke in,
"-- with the election won -- with the goods delivered -- -- "" He suddenly broke off, for the tail of his eye had sighted Blake's open cabinet.",1912,1910-19,FIC,CounselDefense,intransitive,anticausative,animate,agent,verb,He,broke,
Deerfoot took a gun that belonged to one of those who stole his blanket and broke his canoe; his blanket has been restored to him and he will now give,1911,1910-19,FIC,LostTrail,transitive,causative,animate,agent,verb,Deerfoot,broke,his canoe
"hoofs reached the Prince's ear. Suddenly an ugly snarl and a short bark broke the stillness of the pleasant forest, and looking down, the Prince saw a",1919,1910-19,FIC,FirelightFairy,intransitive,anticausative,inanimate,patient,verb,an ugly snarl and a short bark,broke,the stillness of the pleasant forest
"straight up on my toes. "" Say, Ferdy, I think I can break away Sunday, after all. Ought to see that youngster of yours, had",1914,1910-19,FIC,WithTorchy,intransitive,anticausative,animate,agent,verb,I,break,
