text,year,period,genre,source,gpt_transitivity,gpt_causativity,gpt_subject_animacy,gpt_subject_role,gpt_pos,gpt_subject,gpt_verb,gpt_object
"general way in the grace and the promises of God. But they fail to improve, they can not even make a beginning, simply because they can not make",1907,1900-09,MAG,GoodHouse,intransitive,anticausative,animate,agent,verb,they,improve,
"is discussed at considerable length in the third edition of Blyth' s "" Improver Improved, "" published in 1662, while it is not mentioned in the first edition",1906,1900-09,NF/ACAD,CloversHowGrow,intransitive,anticausative,inanimate,patient,verb,it,improve,
"to Meet them, and that these untouched lands will not be taken up and improved. But this will be for Congress to decide. As the President promised,",1909,1900-09,MAG,Nation,intransitive,anticausative,inanimate,patient,verb,these untouched lands,improved,
". His successors attempted to deal with it, injuring it in some respects, improving it in others; but taken as a whole, his was a great and",1908,1900-09,MAG,Atlantic,transitive,causative,animate,agent,verb,his successors,improving,it
"ode, to be violated on the race track maintained by the Saratoga Association for Improving the Breed of Horses, although his attentiln has been specifically drawn thereto, and",1908,1900-09,NEWS,NYT-Reg,intransitive,anticausative,inanimate,agent,verb,the Saratoga Association for Improving the Breed of Horses,improve,
"exists to the mean standard of national physique, all that is required is to improve the condi tions of living, and in one or two generations all the ground",1905,1900-09,MAG,Forum,intransitive,anticausative,inanimate,agent,verb,all that is required,improve,
"a short one, and it is useless to waste good money in trying to improve either. "" It would be much more to the point to spend your money",1900,1900-09,FIC,WaysMen,intransitive,anticausative,inanimate,agent,verb,it,improve,
children. mostly sufferers from tuberculosis. The camp was instituted by the Society for Improving the Condition of the Poor. The tents were blown down and the little sufferers,1904,1900-09,NEWS,NYT-Reg,intransitive,anticausative,animate,patient,verb,children,improve,
"of prominent citizens, is of serious consequence to those schools. PUBLIC SCHOOLS GREATLY IMPROVED The public school in most American cities is a far better school in its net",1902,1900-09,MAG,GoodHouse,intransitive,anticausative,inanimate,patient,verb,public schools,improved,
"not follow that the period between the introduction and the complete development of automobiles is improved by them. At any rate, a reasonable counterblast to motor eulogies may not",1908,1900-09,MAG,Independent,intransitive,anticausative,inanimate,patient,verb,the period between the introduction and the complete development of automobiles,improved,
"which makes the difference between meaty and lean birds. Almost any fowl can be improved by fattening, but there are some which lend themselves to the system more readily",1904,1900-09,NF/ACAD,SmallCulture,intransitive,anticausative,inanimate,patient,verb,almost any fowl,improved,
"formed. It is hoped that the State Land Bank of New York City may improve the situation in New York for Farmers' Organizations, but "" generally nearly all",1907,1900-09,NF/ACAD,ThreeAcresLiberty,transitive,causative,animate,agent,verb,the State Land Bank of New York City,improve,the situation in New York for Farmers' Organizations
"and national, oleomargarine continued to grow in popularity. The quality, too, improved, and to this end the Federal inspection law was of some service, since",1900,1900-09,MAG,Nation,intransitive,anticausative,inanimate,patient,verb,The quality,improved,
"whist clubs and receptions. The babies keep coming and the young people keep on improving their home, moving from the little house to the big house; the young",1906,1900-09,FIC,OurTown,transitive,causative,animate,agent,verb,the young people,improving,their home
"us an infinity of trouble. "" # The Sung fortunes showed some slight symptoms of improving when Kiassetao was disgraced, and a more competent general was found in the person",1900,1900-09,NF/ACAD,China,intransitive,anticausative,inanimate,patient,verb,The Sung fortunes,improving,
measurably better than it has been. He enumerates oUr gains. We have vastly improved our civil service; the several extensions of the merit system have deprived the spoilsmen,1908,1900-09,MAG,Atlantic,transitive,causative,animate,agent,verb,we,improved,our civil service
And what was Adam' s sin? He coveted knowledge. He wished to improve his mind. He experimented with forbidden things. He dared to take the initiative,1909,1900-09,NF/ACAD,TruthAboutJesus,intransitive,anticausative,animate,agent,verb,he,improve,his mind
"a trained hand to manipulate them. Perhaps, with modern reflectors, she but improved on some fancy of an ancient king who sought to guard himself against treachery or",1900,1900-09,FIC,DaughterSun,intransitive,anticausative,animate,agent,verb,she,improved,
"joining them, more introductions followed, and the conversation became general. Gerald Goddard improved this opportunity to slip away; but his wife, who was covertly watching his",1900,1900-09,FIC,MaskedBridal,transitive,causative,animate,agent,verb,Gerald Goddard,improved,this opportunity
"caused, malicious reports to the contrary notwithstanding. Every effort is being made to improve the facilities of the telegraph and railroads, and it is believed that in a",1908,1900-09,MAG,Independent,intransitive,anticausative,animate,agent,verb,Every effort,improve,
"(goes to him) You do, don't you? CAPTAIN GEORGE LOVELL Improved? Amazingly improved. (approaching her) PEGGY (backing to table) Do",1909,1900-09,FIC,Play:MiceMen,intransitive,anticausative,inanimate,patient,verb,You,improve,
"Engineer Bond has estimated that the canal, by the lake route, could be improved to 1,000-ton barge capacity, and the present Erie and Champlain canals substantially enlarged at",1902,1900-09,MAG,Nation,transitive,causative,animate,agent,verb,Engineer Bond,improve,the canal
piano manufacturers for their obstinate adherence to the old-fashioned clumsy action; everything had been improved but the keyboard -- that alone was as coldly unresponsive and inelastic as a half-century,1905,1900-09,FIC,Visionaries,intransitive,anticausative,inanimate,patient,verb,everything,improved,
In order to insure the ability to raise the money which will be needed to improve the service in the manner that tile city w111.... demend. This will?,1904,1900-09,NEWS,Chicago,transitive,causative,inanimate,agent,verb,the ability to raise the money,improve,the service
", A. Buchanan. Vol I. University of Toronto Library). He has undoubtedly improved upon Keil, Hartzenbusch, MacColl, Krenkel, Menendez y Pelayo and others,",1909,1900-09,MAG,Nation,intransitive,anticausative,animate,agent,verb,He,improved,"upon Keil, Hartzenbusch, MacColl, Krenkel, Menendez y Pelayo and others"
use of electricity to propel railway cars; but nearly twenty-five years were required to improve the dynamo and adapt it to the streetrailway service. Among the men who did,1909,1900-09,NF/ACAD,ElementsTransportation,intransitive,anticausative,inanimate,patient,verb,dynamo,improve,
"Finally I said very engagingly: "" Doctor M -- --, I hope to improve in these matters by taking a course of instruction under you next year. """,1904,1900-09,FIC,JessicaLetters,intransitive,anticausative,animate,agent,verb,I,improve,
"by the incentive it offers all classes of the population to combine their efforts to improve the arts, and by the impetus it gives to the development of machinery thru",1907,1900-09,MAG,Independent,intransitive,anticausative,inanimate,agent,verb,all classes of the population,improve,
". A similar mishap had already occurred to Robert Schumann: with the aim of improving his technique, and unknown to his most intimate friends, he took it into",1903,1900-09,NF/ACAD,MusicalEducation,intransitive,anticausative,animate,patient,verb,Robert Schumann,improve,
"gave a whistle of surprise. "" Then you don't even know how Max improved? Everybody thought when he married Hilda von Arnim that he did it merely for",1903,1900-09,FIC,Tar-HeelBaron,intransitive,anticausative,animate,agent,verb,you,improved,
"might bring about a return of his malady, and I'm told he is improving in all respects. "" "" I must do it; it is his.",1900,1900-09,FIC,ReelsSpindles<,intransitive,anticausative,animate,patient,verb,he,improving,
"says Avarice to Labor; it is the desire of my heart to help thee improve thy condition; let me take a dollar from thy pocket, and I will",1900,1900-09,MAG,Nation,intransitive,anticausative,animate,agent,verb,thee,improve,
"Bronze turkey is the best of our English varieties, but these have been greatly improved by the introduction of a good deal of American Mammoth Bronze blood into them.",1904,1900-09,NF/ACAD,SmallCulture,intransitive,anticausative,inanimate,patient,verb,these,improved,
of the American government in sending warships and supplies. The water supply has been improved but food is very scarce and prices exorbitant. A remarkable incident of the earthquake,1907,1900-09,NEWS,NYT-Reg,intransitive,anticausative,inanimate,patient,verb,The water supply,improved,
"bulletin said the President was conscious, free from pain; his condition had somewhat improved; there was a better response to stimulation. At 2:30 in the afternoon,",1901,1900-09,MAG,RevReviews,intransitive,anticausative,inanimate,patient,verb,his condition,improved,
"low heat, cool it in lukewarm water half a dozen times, this will improve it some, if you can hammer it some do so. Now punch a",1904,1900-09,NF/ACAD,ModernBlacksmithing,transitive,causative,inanimate,agent,verb,this,improve,it
"the starving, clothed the naked, and ministered to the sick. We have improved the sanitary condition of the island. We have stimulated industry, introduced public education",1901,1900-09,MAG,Atlantic,transitive,causative,animate,agent,verb,We,improved,the sanitary condition of the island
"you and I will put our heads together and see what can be done to improve matters. And that, let me tell you, my dear boy, is",1908,1900-09,FIC,PeterNovelWhich,transitive,causative,animate,agent,verb,you and I,improve,matters
"s lamp-lighted sitting-room an hour later. In outward matters, also, a vastly improved one, since his rough denim blouse and overalls had been exchanged for a fairly",1905,1900-09,FIC,BrassBoundBox,intransitive,anticausative,inanimate,patient,verb,one,improve,
"shall not put itself in active opposition, that it shall let the task of improving our present barbarous orthography go on unimpeded. This, however, is the very",1907,1900-09,MAG,Atlantic,intransitive,anticausative,inanimate,patient,verb,the task of improving our present barbarous orthography,improve,
"for entering the service of the company or for continuing in the same, or improve the system of accounting, he very properly consults those who are most directly interested",1900,1900-09,MAG,Atlantic,transitive,causative,animate,agent,verb,he,improve,the system of accounting
"merely nice and fresh-looking when you came out. You're one of those that improve with time. "" "" Thanks, "" said the girl dryly. She was",1909,1900-09,FIC,FashionableAdventures,intransitive,anticausative,animate,patient,verb,you,improve,
"is really as warm as summer. "" She had changed the picture only to improve it, for the suggestion of wildness and freedom in her dark hair fitted more",1906,1900-09,FIC,MayorWarwick,transitive,causative,animate,agent,verb,she,improve,it
"better, and yet hated with hot anger the very conditions he was trying to improve. He was like a knight seeking with unrestrained eagerness the dragon, yet not",1905,1900-09,MAG,SouthAtlanticQ,transitive,causative,animate,agent,verb,he,improve,the very conditions
"actions are proper to be brought and what are unfit to be entertained let us improve them until they are competent, or abolish them altogether and resort to the mild",1909,1900-09,FIC,ShadowOnTheDial,transitive,causative,animate,agent,verb,us,improve,them
"is not much augmented. By pursuing this method the nervous system may sometimes be improved and the muscles made responsive, but activity will be attained at the expense 216",1906,1900-09,NF/ACAD,PhysicalEducation,intransitive,anticausative,inanimate,patient,verb,the nervous system,improved,
"Senate in the matter of confirmation "" To tine end that the service may be improved, the Senate is invited to tine fullest scrutiny of tine persons submitted to them",1900,1900-09,MAG,Atlantic,intransitive,anticausative,inanimate,patient,verb,the service,improved,
", and teeth-marks on neck and withers. Horses led in a bunch do not improve in disposition. Some of the scores the blue-roan colt paid in kind, some",1903,1900-09,FIC,HorsesNine,intransitive,anticausative,inanimate,patient,verb,Horses led in a bunch,improve,
"growth, the quality of the hay will, in nearly all instances, be improved by grazing. This, however, should be done soon after the growth begins",1906,1900-09,NF/ACAD,CloversHowGrow,intransitive,anticausative,inanimate,patient,verb,the quality of the hay,improved,
"the fourth a natural flint selected for its resemblance to the ba-boon, and slightly improved by knock-ing off a few awkward projections; there can be no question as to",1903,1900-09,MAG,Harpers,transitive,causative,inanimate,agent,verb,a natural flint,improved,a few awkward projections
"torpedo, "" remarked Captain Shirley, coming ubiquitously up behind me. "" I improve on that. I can discharge the telautomobile torpedo, and guide it either from",1909,1900-09,FIC,MotorBoysOnPacific,intransitive,anticausative,animate,agent,verb,I,improve,
in to disturb the purity of the blood. The little girl really began to improve. Her hair was taking on a brighter tint and in the warm weather the,1908,1900-09,FIC,LittleGirlInOld,intransitive,anticausative,animate,patient,verb,the little girl,improve,
"grains on a small plot a family could be obtained, which could afterwards be improved by a continuous selection. Differences between the collected ears were either not observed or",1909,1900-09,NF/ACAD,DarwinModernScience,intransitive,anticausative,inanimate,patient,verb,grains,improve,
"with a lawn-mower, such things had not been heard of even in the rapidly improving Salem. "" There are some countries where people live out of doors nearly all",1908,1900-09,FIC,LittleGirlInOld,intransitive,anticausative,inanimate,patient,verb,Salem,improving,
women had made a coarse kind of lace worked with beads that the French maidens improved upon and disposed of to the better class. Or the more hoydenish ones delighted,1902,1900-09,FIC,LittleGirlInOld,intransitive,anticausative,animate,agent,verb,the French maidens,improved,
"the ships of the other should be stipulated, and that the armistice should be improved into a definite and comprehensive adjustment of depending controversies. "" To the refined mind",1902,1900-09,NF/ACAD,AmericanNavigation,intransitive,anticausative,inanimate,patient,verb,the armistice,improved,
"at once took its place as a text-book in our leading universities, was much improved in the second edition, and is now brought down to the end of the",1903,1900-09,MAG,Nation,intransitive,anticausative,inanimate,patient,verb,it,improved,
"would interest themselves in the work, much might still be done to modify and improve our metropolis. One hears with satisfaction that a group of architects have lately met",1900,1900-09,FIC,WaysMen,transitive,causative,animate,agent,verb,a group of architects,improve,our metropolis
"came out, looking very cheerful. He said. that: ha situation had improved. "" It is much more hopeful than it was ten minutes ago, """,1902,1900-09,NEWS,NYT-Reg,intransitive,anticausative,inanimate,patient,verb,situation,improved,
"plans for preserving order in the school, for decorating the building, and for improving the school in other respects can also be submitted to their judgment. It is",1909,1900-09,NF/ACAD,HowStudyTeaching,intransitive,anticausative,inanimate,agent,verb,"plans for preserving order in the school, for decorating the building, and for improving the school in other respects",improve,
", and at least one additional in Illinois (where the cumulative system of voting improves the chances of third candidates). A Prohibition nominee with Republican endorsement was elected",1906,1900-09,MAG,Nation,transitive,causative,inanimate,agent,verb,the cumulative system of voting,improves,the chances of third candidates
"which was his own affair -- should present an air of mystery, did not improve his humour, which was bad to begin with. He had lately been passing",1907,1900-09,FIC,Shuttle,transitive,causative,inanimate,agent,verb,which,improve,his humour
""" It looked pretty bad when I was first nominated, but the situation has improved from day to day. There is to-day no question but I will be elected",1908,1900-09,NEWS,NYT-Reg,intransitive,anticausative,inanimate,patient,verb,the situation,improved,
"a former visitor there and they had come here to talk over mutual acquaintances and improve their minds by discreet discourse. "" But, sir, "" he said,",1903,1900-09,FIC,StrangeAdventures,transitive,causative,animate,agent,verb,they,improve,their minds
"add, "" but I have said nothing about Dorrie, except that she is improving. I think "" -- thoughtfully -- "" I will make' open confession'",1904,1900-09,FIC,KatherinesSheaves,intransitive,anticausative,animate,patient,verb,she,improving,
"difficulties are, and what, if anything, can be done to strengthen and improve his situation. Lastly, there is a department of sales agents under the general",1900,1900-09,MAG,Harpers,intransitive,anticausative,inanimate,patient,verb,difficulties,improve,
"found that that sort of thing sufficed, they naturally were at no pains to improve on it in their later work. Nothing is more dangerous for a young man",1905,1900-09,MAG,Atlantic,intransitive,anticausative,animate,agent,verb,they,improve,
"6. They should increase the flow of lymph in the lymphatics, and thereby improve the environmental conditions of all the cells in the body (see Chapter IV)",1906,1900-09,NF/ACAD,HumanMechanism,transitive,causative,animate,agent,verb,they,improve,the environmental conditions of all the cells in the body
liked the goods he sold. It is better for a man to try to improve the line he carries -- even though it may not suit him perfectly -- than,1905,1900-09,FIC,TalesRoad,intransitive,anticausative,animate,agent,verb,a man,improve,
"naval strength at all. For some years the United States navy had been steadily improving, but this improvement was not sufficient to make it worthy of reliance at this",1900,1900-09,FIC,GreatWarSyndicate,intransitive,anticausative,inanimate,patient,verb,the United States navy,improving,
"git to lookin' at it real clost, an' it could be mightily improved on by a middlin' sight of polishin', wood-filler an' hard-oil,",1905,1900-09,FIC,OklahomaSunshine,intransitive,anticausative,inanimate,patient,verb,it,improve,
"don't notice any ill effects. "" "" You say your health doesn't improve as rapidly as you hoped. "" Check! She reddened with guilt and exasperation",1909,1900-09,FIC,FashionableAdventures,intransitive,anticausative,inanimate,patient,verb,your health,improve,
"matter, "" wrote the excellent and conscientious lady, "" if I had not improved the opportunity to explain at length, in the hearing of my misguided relative,",1902,1900-09,FIC,Transfiguration,transitive,causative,animate,agent,verb,I,improved,the opportunity
United States Army engineers estimate that freight can be transported on the Ohio River thus improved at an average rate of one-half (y2) mill per tonmile. This is,1908,1900-09,MAG,Independent,intransitive,anticausative,inanimate,patient,verb,freight,improved,
"there was great revival of all branches of gem cutting, and cameos began to improve, and to resemble once more their classical ancestors. Indeed, their resemblance was",1908,1900-09,NF/ACAD,ArtsCraftsInMiddle,intransitive,anticausative,inanimate,patient,verb,cameos,improve,
"as it goes. Go on, child! How doth the little busy bee improve -- ROSIE How doth the little busthy bee improve. TEACHER Improve each shining hour",1909,1900-09,FIC,Play:FridayAfternoon,intransitive,anticausative,animate,agent,verb,the little busy bee,improve,
"of its existence it has spread abroad good, popular, and cheap books, improved the schools, rewarded deeds of valor, instituted popular lectures, and finally became",1908,1900-09,MAG,NatGeog,transitive,causative,inanimate,agent,verb,it,improve,the schools
"a sign of unsettled conditions, but it is more frequent when wet weather is improving, and often forms the glory of the sunset after a rainy day. The",1908,1900-09,MAG,Harpers,intransitive,anticausative,inanimate,patient,verb,wet weather,improving,
"she could from the materials available. There were many things that might have been improved. They might have gone out on the deck, for one thing, but",1900,1900-09,FIC,FrankMerriwells,intransitive,anticausative,inanimate,patient,verb,things,improved,
"novelist was felt to be an unsatisfactory one in 1883, and it has not improved in the interval, in fact, its value has been impaired by later publications",1904,1900-09,MAG,Nation,intransitive,anticausative,inanimate,patient,verb,it,improved,
"defined this new science as "" the study of agencies under social control that may improve or impair the racial qualities of future generations, either physically or mentally. """,1907,1900-09,MAG,PopSci,intransitive,anticausative,inanimate,agent,verb,agencies under social control,improve,
countries is detailed More particular reference is made to the activities of the Canadians in improving the St. Lawrence in order to turn toward Montreal an increasingly large volume of commerce,1909,1900-09,MAG,Nation,intransitive,anticausative,animate,agent,verb,the Canadians,improving,
fosters habits in the right direction.' Die activity which we see now in improving the framework of municipal government is itself a sign that traditions are mending. As,1906,1900-09,MAG,Atlantic,intransitive,anticausative,inanimate,agent,verb,activity,improve,
"who, they believe, will give a good, clean administration, and possibly improve the morals of Tammany Hall, so that in two years from now we shall",1901,1900-09,MAG,RevReviews,transitive,causative,animate,agent,verb,"who, they believe",improve,the morals of Tammany Hall
"endeavors in the same direction. Drinking is only one of the customs we have improved. Remember that the eighteenth century gave us, as a part of our inheritance",1901,1900-09,MAG,NorthAmRev,transitive,causative,animate,agent,verb,we,improved,the customs
"herbs, like mint, parsley, etc., are planted in the inclosure to improve the flavor of the snails. In October, the snails having become fat through",1907,1900-09,NF/ACAD,ThreeAcresLiberty,transitive,causative,inanimate,agent,verb,"herbs, like mint, parsley, etc.",improve,the flavor of the snails
"enlightened people of Dayton had fussed over the ever-present problem, "" How can we improve our city government? "" They sent experts abroad to study the matter in all",1918,1910-19,MAG,Harpers,transitive,causative,animate,agent,verb,we,improve,our city government
"cheery smile on the face during the manipulation, if the looks are to be improved by the exercise. In kneading the stomach and the diaphragm if we have a",1915,1910-19,NF/ACAD,HowAddTenYears,intransitive,anticausative,inanimate,patient,verb,the looks,improve,
interest on the money. The great age of invention in which we live has improved everything in the way of machines. One man is now used where formerly a,1914,1910-19,MAG,Harpers,transitive,causative,inanimate,agent,verb,The great age of invention in which we live,improved,everything in the way of machines
", for a rest. Ever since then, however, he has seemed greatly improved in health. Although he refused to ge to a resort or sanitarium when I",1914,1910-19,NEWS,NYT-Reg,intransitive,anticausative,animate,patient,verb,he,improve,
that we had a good chance to get away from most of them. To improve our speed and wind we often took long runs into the country. Tam o,1912,1910-19,MAG,Atlantic,intransitive,anticausative,animate,agent,verb,we,improve,
"into the schooling of each child can, by consolidating their schools, secure greatly improved educational facilities with no heavier financial burden. Not the least important of the advantages",1913,1910-19,NF/ACAD,NewIdealsInRural,intransitive,anticausative,inanimate,patient,verb,educational facilities,improve,
"to shreds, for the good of some one else. I certainly must be improving. "" Later she thought, "" She will know all her aunties before she",1917,1910-19,FIC,SunnySlopes,intransitive,anticausative,animate,patient,verb,I,improving,
"soon as wool began to be used for cloth the sheep-raiser saw the need of improving the fleece. This was done by careful breeding, careful feeding, and by",1918,1910-19,NF/ACAD,HomeItsManagement,transitive,causative,animate,agent,verb,the sheep-raiser,improving,the fleece
"associated effort and individual influence on behalf of a generally accepted plan or program for improving the community at all points. By reason of such cooperative endeavor, should emerge",1919,1910-19,NF/ACAD,FarmerNewDay,intransitive,anticausative,inanimate,patient,verb,a generally accepted plan or program,improve,
"established, or the establishment of such a government seriously attempted.' Conditions were improving but slowly, when, on January 12, the United States was horrified by",1916,1910-19,MAG,Atlantic,intransitive,anticausative,inanimate,patient,verb,conditions,improving,
"Negroes in cities is worse than that of whites, it shows a tendency to improve similar to that of the white population when a fairly impartial treatment is accorded.",1912,1910-19,NF/ACAD,NegroAtWorkInNew,intransitive,anticausative,inanimate,patient,verb,a tendency,improve,
or any | other New England versifier of his period could have originated or even improved any form of verse. The years between the close of the seventeenth century and,1917,1910-19,NF/ACAD,CambridgeHistory,transitive,causative,animate,agent,verb,any other New England versifier of his period,improved,any form of verse
be inspected by federal officials. Yet it has neither added to the personnel nor improved the ad? ministration of the inspection service. Even be? fore the Seamen,1915,1910-19,MAG,NewRepublic,intransitive,anticausative,inanimate,patient,verb,it,improved,
"115), Paris, Bourges, and Sens (p. 59), was improved on by making this rib a genuine vaulting rib supporting a vaulting panel; and",1911,1910-19,NF/ACAD,GothicArchitecture,intransitive,anticausative,inanimate,patient,verb,this rib,improved,
long-legged Neapolitan hog of that country was imported into England perhaps two centuries ago to improve the Berkshire and the coarse white hogs of Great Britain. The Chinese produced a,1914,1910-19,NF/ACAD,BeginningsInAnimal,transitive,causative,inanimate,agent,verb,long-legged Neapolitan hog of that country,improve,the Berkshire and the coarse white hogs of Great Britain
"its own apparatus for getting out cargo. But Archangel was, nevertheless. greatly improved for the second winter of the war by the installation of three icecrushers in place",1916,1910-19,MAG,Scribners,intransitive,anticausative,inanimate,patient,verb,Archangel,improved,
", conditions and hours of employment of American workers, or impair their efforts to improve them. "" In order to prevent distrust of this sort, which would cause",1914,1910-19,MAG,NewRepublic,intransitive,anticausative,animate,agent,verb,their efforts,improve,
"Our Times in the Island Republic of Caracuna.' "" "" Highly informative and improving to the untutored mind, "" Miss Brewster complimented him. "" I like seeing",1916,1910-19,FIC,UnspeakablePerk,intransitive,anticausative,inanimate,patient,verb,Our Times in the Island Republic of Caracuna,improve,
"for a commodious and beautiful station contributes to the comfort, delights the eye and improves the taste of all who use it. In every city and town, for",1912,1910-19,NF/ACAD,AmericanTransportation,transitive,causative,inanimate,agent,verb,a commodious and beautiful station,improves,the taste of all who use it
"and had creases more // or less along the sides. They have been greatly improved, however, in recent years. As to size, the boars easily weigh",1914,1910-19,NF/ACAD,BeginningsInAnimal,intransitive,anticausative,inanimate,patient,verb,they,improved,
"over the country. The municipal government has become purer. The legislatures too have improved in many a State. The force of public opinion, used more frequently,",1912,1910-19,NF/ACAD,DemocracyParty,intransitive,anticausative,inanimate,patient,verb,the legislatures,improved,
. No; the mothers of forty or fifty years ago had no theories about improving the world (except the heathen) outside their own respectable doors; but they,1910,1910-19,MAG,Atlantic,intransitive,anticausative,animate,agent,verb,the mothers of forty or fifty years ago,improve,
"If the writer could be sure that any group of teachers would try conscientiously to improve in the art of questioning, he would be just as sure that these same",1913,1910-19,NF/ACAD,BriefCourseInTeaching,intransitive,anticausative,animate,agent,verb,any group of teachers,improve,
". In two of them the housekeeping arrangements were carried on. The weather had improved during the afternoon, and by evening we had the most brilliantly clear sky.",1913,1910-19,NF/ACAD,SouthPoleAccount,intransitive,anticausative,inanimate,patient,verb,the weather,improved,
"also our underlying honesty, and hold to a conviction that year by year we improve. For so we, do. And so do our representatives. When last",1917,1910-19,MAG,Century,intransitive,anticausative,animate,agent,verb,we,improve,
". of inflectional endings, such as has taken place between Gothic and English, improves the language and carries with it no loss of clearness that need make us regret",1919,1910-19,MAG,Harpers,transitive,causative,inanimate,agent,verb,the change of inflectional endings,improves,the language
"reporter's coming did a lot of good for us, as things began to improve after the reports had been circulated as regards clothing and striking; but the soup",1917,1910-19,MAG,Atlantic,intransitive,anticausative,inanimate,patient,verb,things,improve,
"the passing years. There seems to be a very general belief that conditions are improving, but safe grounds for the belief are not easy to find. Conditions differ",1917,1910-19,MAG,NorthAmRev,intransitive,anticausative,inanimate,patient,verb,conditions,improving,
"and even Munich now has its share in them, so that Heyse may have improved on his opinion since then. But in any case we psychologists do not take",1914,1910-19,NF/ACAD,PsychologySocial,intransitive,anticausative,inanimate,patient,verb,Heyse,improved,
"you are contented, "" said Farr, with irony. "" Thee has manifestly improved thy condition, so I observe. "" "" It often happens in this world",1915,1910-19,FIC,Landloper,intransitive,anticausative,inanimate,patient,verb,thy condition,improved,
"these problems is to make this science of immediate practical service to man, in improving and extending our weather-forecasts. When the term meteorology is employed in its broadest sense",1910,1910-19,MAG,PopSci,intransitive,anticausative,inanimate,patient,verb,these problems,improve,
"to remedy this condition. It is apparent that before this condition can be greatly improved, vital changes must be made in the plan and methods of instruction in our",1917,1910-19,NF/ACAD,ProfessionTeaching,intransitive,anticausative,inanimate,patient,verb,this condition,improved,
"may be gained by the child while constructing this simple article, provided the teacher improves the opportunities for giving the instruction which the exercise affords. If useful concepts are",1917,1910-19,NF/ACAD,ProfessionTeaching,transitive,causative,animate,agent,verb,the teacher,improves,the opportunities for giving the instruction which the exercise affords
". Some of the people on the island felt that something should be done to improve their cattle. So they selected two cows, one of which they thought had",1914,1910-19,NF/ACAD,BeginningsInAnimal,transitive,causative,animate,agent,verb,they,improve,their cattle
"at least, so history seems to teach. The situation is not at all improved when the commonalty muses upon the fact that there has been a lofty and soul-moving",1918,1910-19,MAG,Atlantic,intransitive,anticausative,inanimate,patient,verb,the situation,improved,
"were told that Mrs. Taft was in no danger, and that her condition had improved. "" I am in charge of the case and can safely say there is",1911,1910-19,NEWS,NYT-Reg,intransitive,anticausative,inanimate,patient,verb,her condition,improved,
