text,transitivity,gpt_transitivity,causativity,gpt_causativity,subject_animacy,gpt_subject_animacy,subject_role,gpt_subject_role,gpt_subject,gpt_verb,gpt_object
"The company is also rolling out hot-updates, so you can keep using an app even while an update for the very same app is downloading and installing in the background.",intransitive,transitive,anticausative,causative,inanimate,inanimate,patient,patient,an update for the very same app,installing,an app
"While this is downloading and installing, you'll be able to use the new Xbox app to start tinkering with the settings.",intransitive,intransitive,anticausative,anticausative,inanimate,inanimate,patient,patient,this,downloading,
"While this is downloading and installing, you'll be able to use the new Xbox app to start tinkering with the settings.",intransitive,transitive,anticausative,causative,inanimate,inanimate,patient,patient,this,installing,the new Xbox app
Click this and then unzip the file when it has downloaded.,intransitive,intransitive,anticausative,anticausative,inanimate,inanimate,patient,patient,the file,downloaded,
"Once the application has downloaded, run it. ",intransitive,transitive,anticausative,causative,inanimate,inanimate,patient,patient,the application,downloaded,it
"When the file has downloaded, install it and choose' Join' from the initial screen.",intransitive,transitive,anticausative,causative,inanimate,inanimate,patient,patient,the file,downloaded,it
"If the apps haven't downloaded yet, they show up as a gray icon in a circle.",intransitive,intransitive,anticausative,anticausative,inanimate,inanimate,patient,patient,the apps,downloaded,N/A
You'll be prompted and Windows 11 will download to it.,intransitive,transitive,anticausative,causative,inanimate,inanimate,patient,patient,Windows 11,download,it
"Once that's done, Steam will download to your machine, at which point you can login and start downloading games.",intransitive,transitive,anticausative,causative,inanimate,inanimate,patient,agent,Steam,download,games
"The update will download, and your iPhone will automatically restart once it's ready.",intransitive,transitive,anticausative,causative,inanimate,inanimate,patient,agent,The update,download,N/A
"Changes to the name and logo will come via title updates that will download automatically,  the EA rep explained to Kotaku.",intransitive,transitive,anticausative,causative,inanimate,inanimate,patient,agent,title updates,download,Changes to the name and logo
This report will download for your use.,intransitive,transitive,anticausative,causative,inanimate,inanimate,patient,patient,This report,download,for your use
The game downloaded and installed in 50 seconds the first time and in 55 seconds on the second installation.,intransitive,transitive,anticausative,causative,inanimate,inanimate,patient,agent,The game,downloaded,and installed
The game downloaded and installed in 50 seconds the first time and in 55 seconds on the second installation.,intransitive,transitive,anticausative,causative,inanimate,inanimate,patient,patient,The game,installed,
"As the games downloaded and appeared on my dashboard, I'd pop into them to see what was what.",intransitive,transitive,anticausative,causative,inanimate,inanimate,patient,agent,games,downloaded,them
A 2.9GB game downloaded in less than a minute.,intransitive,transitive,anticausative,anticausative,inanimate,inanimate,patient,patient,A 2.9GB game,downloaded,null
The FX20 is expected to be shipping worldwide in the first half of 2022.,intransitive,intransitive,anticausative,anticausative,inanimate,inanimate,patient,patient,The FX20,shipping,
"Of course, this version won't be shipping with Flash Player.",intransitive,intransitive,anticausative,anticausative,inanimate,inanimate,patient,patient,this version,shipping,with Flash Player
It will be shipping to customers from September 15.,intransitive,intransitive,anticausative,anticausative,inanimate,inanimate,patient,patient,It,shipping,to customers
The Nano-C98 will be shipping in November at $245 US.,intransitive,intransitive,anticausative,anticausative,inanimate,inanimate,patient,patient,The Nano-C98,shipping,
"They'll be shipping in the next two to three weeks, so get your tickets now.",intransitive,transitive,anticausative,causative,inanimate,inanimate,patient,agent,They,shipping,tickets
The game will install onto the PS5's hard drive and you'll be able to play it as long as the disc is in the system.,intransitive,transitive,anticausative,causative,inanimate,inanimate,patient,agent,The game,install,onto the PS5's hard drive
Code Blocks will install and is ready to be used.,intransitive,transitive,anticausative,causative,inanimate,inanimate,patient,agent,Code Blocks,install,and is ready to be used
"What there is, is a BazarLoader executable file that will install instead.",intransitive,transitive,anticausative,causative,inanimate,inanimate,patient,patient,a BazarLoader executable file,install,nothing
Completed rides will automatically upload to all authorized third party accounts.,intransitive,transitive,anticausative,causative,inanimate,inanimate,patient,agent,Completed rides,upload,to all authorized third party accounts
The data will automatically download in the background while you play World of Warcraft or while you have the Launcher window open.,intransitive,transitive,anticausative,causative,inanimate,inanimate,patient,patient,The data,download,N/A
The new content will automatically download when you log-in to play the game.,intransitive,transitive,anticausative,causative,inanimate,inanimate,patient,patient,The new content,download,when you log-in to play the game
"But since then, I've been uploading pretty steadily onto like every internet platform.",intransitive,transitive,causative,causative,animate,animate,agent,agent,I,uploading,pretty steadily onto like every internet platform
What was amazing to me was that librarians created a Google Doc requesting people to upload copies of materials they had used in the Jagger Library to create a digital repository and people have been uploading from around the world.,intransitive,transitive,causative,causative,animate,animate,agent,agent,librarians,uploading,copies of materials they had used in the Jagger Library
"We both got into NYU, and literally that first week of school, we got the microphone and shot that first video and have been uploading ever since.",intransitive,transitive,causative,causative,animate,animate,agent,agent,we,uploading,the microphone and shot that first video
"In the year that Anthony has been uploading to Citizen, he's filmed hundreds of these videos: 675 to be exact.",intransitive,transitive,causative,anticausative,animate,animate,agent,agent,Anthony,uploading,to Citizen
"After taking a much-needed break over the summer given that she'd been uploading on YouTube for roughly 11 years without pause, Nilsen says she wanted to try her hand at something that she's never done before, and will be crafting all of the candles by hand.",intransitive,transitive,causative,causative,animate,animate,agent,agent,Nilsen,uploading,on YouTube
One of the many ambiguities about P2P is that users are uploading as well.,intransitive,intransitive,causative,anticausative,animate,animate,agent,agent,users,uploading,None
"According to McMahon, 95% of the public pathology labs in the country are uploading into the My Health Record, which she said was another threefold increase over the last year for tests being uploaded.",intransitive,transitive,causative,causative,inanimate,inanimate,agent,agent,public pathology labs,uploading,tests
"GoPro is uploading more often to its main YouTube channel, now with more than 2.2 million subscribers.",intransitive,transitive,causative,causative,inanimate,inanimate,agent,agent,GoPro,uploading,more often to its main YouTube channel
But you co-own it with whatever platform you're uploading into.,intransitive,transitive,causative,causative,animate,inanimate,agent,agent,you,uploading,it
"Sadly, if you're uploading from iOS or Android, this limit is still applicable.",intransitive,intransitive,causative,anticausative,animate,inanimate,agent,patient,this limit,uploading,from iOS or Android
"Want to stream 4K video, while someone else is using a data-hungry program that's uploading to the internet? Say no more.",intransitive,intransitive,causative,anticausative,inanimate,inanimate,agent,patient,someone else,uploading,to the internet
Hopefully this photo is more clear - not sure why they're uploading blurry...,intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,they,uploading,blurry
"And at least initially, activities recorded with the Fitbit app on Wear watches will not upload to Google Fit.",intransitive,transitive,causative,causative,inanimate,inanimate,patient,agent,activities recorded with the Fitbit app on Wear watches,upload,activities recorded with the Fitbit app on Wear watches to Google Fit
It will not upload to comments if it is over that size.,intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,It,upload,to comments
"If you are trying to do a short sale in CA and you are not a Remax agent, the file will not upload to Equator.",intransitive,transitive,causative,causative,inanimate,inanimate,patient,agent,the file,upload,to Equator
Elizabeth has been uploading one throwback bikini post a day since Jan.,transitive,transitive,causative,causative,animate,animate,agent,agent,Elizabeth,uploading,one throwback bikini post a day since Jan
"For about a year now, Herrod has been uploading videos about the pandemic and American politics.",transitive,transitive,causative,causative,animate,animate,agent,agent,Herrod,uploading,videos about the pandemic and American politics
Other opportunists have uploaded their own war forgeries to TikTok.,transitive,transitive,causative,causative,animate,animate,agent,agent,Other opportunists,uploaded,their own war forgeries
Sometimes people will upload a game before it's taken down after a year or so.,transitive,transitive,causative,causative,animate,animate,agent,agent,people,upload,a game
"However, it will upload each clip in its entirety.",transitive,transitive,causative,causative,inanimate,inanimate,agent,agent,it,upload,each clip
Neil Patrick Harris is uploading himself to The Matrix 4.,transitive,transitive,causative,causative,animate,animate,agent,agent,Neil Patrick Harris,uploading,himself to The Matrix 4
The feature had installed itself automatically on the PS3.,transitive,transitive,causative,anticausative,inanimate,inanimate,agent,patient,The feature,installed,itself automatically on the PS3
"That is, you'll be offered the Creators Update through Windows Update sometime after the release goes public, when you accept the offer, the update will download itself and get installed on your PC(s).",transitive,transitive,causative,causative,inanimate,inanimate,agent,patient,the update,download,itself
"The Health Security Agency said a total of 40 countries have uploaded 8,040 BA.2 sequences since Nov.",transitive,transitive,causative,causative,inanimate,inanimate,agent,agent,The Health Security Agency,uploaded,"8,040 BA.2 sequences"
"Other countries that have uploaded more than 100 samples are India (530), Sweden (181), and Singapore (127), the agency said.",transitive,transitive,causative,causative,inanimate,inanimate,agent,agent,Other countries,uploaded,more than 100 samples
"Since mid-November, more than three dozen countries have uploaded nearly 15,000 genetic sequences of BA.2 to GISAID, a global platform for sharing coronavirus data.",transitive,transitive,causative,causative,inanimate,inanimate,agent,agent,countries,uploaded,genetic sequences of BA.2 to GISAID
"As per data, between January 1 and 24, a total of 1,98,000 people have uploaded their test results of whom 4,397 are positive.",transitive,transitive,causative,causative,animate,animate,agent,agent,people,uploaded,their test results
"The seller also claims that this is the "" one and only working Larrabee prototype in the world, "" and they appear to have uploaded a YouTube video showing the GPU installed in a desktop and running on Windows.",transitive,transitive,causative,causative,animate,inanimate,agent,agent,they,uploaded,a YouTube video
"Many of her followers highlight her biracial background admiringly, calling her a "" biracial beauty, "" while others have uploaded tutorials on how to wear makeup to look more like Gu, with "" biracial vibes.",transitive,intransitive,causative,anticausative,animate,animate,agent,agent,others,uploaded,"tutorials on how to wear makeup to look more like Gu, with 'biracial vibes'"
"This meeting includes the landlord, the tenant and a court-trained mediator who makes sure both parties have uploaded the proper paperwork, and sees if they can work out a deal.",transitive,transitive,causative,causative,animate,inanimate,agent,agent,court-trained mediator,uploaded,the proper paperwork
"According to Spotify, there are over 8 million artists on its platform, of which about 2.6 million have uploaded at least ten songs.",transitive,transitive,causative,causative,animate,inanimate,agent,agent,2.6 million,uploaded,at least ten songs
"At the same time, Blizzard boss Mike Ybarra emailed staff saying they'll continue to require vaccination for at least the next few months and that about 80% of their employees in Irvine, Austin, and Albany have uploaded proof of vaccination.",transitive,transitive,causative,causative,animate,animate,agent,agent,they,uploaded,proof of vaccination
"What they do seem to know is that doctors have uploaded almost 15,000 genetic sequences of BA.2 to a global COVID database shared by researchers around the world.",transitive,transitive,causative,causative,animate,animate,agent,agent,doctors,uploaded,"almost 15,000 genetic sequences of BA.2 to a global COVID database shared by researchers around the world"
Bristle will upload your test results to your online account.,transitive,transitive,causative,causative,inanimate,inanimate,agent,agent,Bristle,upload,your test results to your online account
That's when the Webb team will upload observations of galaxy mergers to a website for her and her colleagues to access.,transitive,transitive,causative,causative,animate,animate,agent,agent,Webb team,upload,observations of galaxy mergers
"Typically, Nucleus users will upload their own genetic results previously obtained by an at-home testing company like 23andMe or Ancestry.",transitive,transitive,causative,causative,animate,animate,agent,agent,users,upload,their own genetic results previously obtained by an at-home testing company like 23andMe or Ancestry
Sometimes people will upload a game before it's taken down after a year or so.,transitive,transitive,causative,causative,animate,animate,agent,agent,people,upload,a game
"A lot of underground acts have these online haters, and they just will upload random songs and tag the artist, "" he says.",transitive,transitive,causative,causative,animate,animate,agent,agent,they,upload,random songs
"His bio stated he'd been uploading music since he was 11 and said he had "" net worth "" that was "" estimated at $100 thousand.",transitive,transitive,causative,causative,animate,animate,agent,agent,he,uploading,music
They also claim they have the GTA VI source code and will upload it.,transitive,transitive,causative,causative,animate,animate,agent,agent,They,upload,the GTA VI source code
"They will upload a video, and two hours later they are swapping thumbnails.",transitive,transitive,causative,causative,animate,animate,agent,agent,They,upload,a video
"After collecting the data, volunteers will upload it to BioBase, which will generate a multilayered map.",transitive,transitive,causative,causative,animate,inanimate,agent,agent,volunteers,upload,it
"And the way it works is that they will upload a hash to a common database, so basically a digital fingerprint, of that video that then platforms can run any uploads to their platform against.",transitive,transitive,causative,causative,animate,inanimate,agent,agent,they,upload,a hash
I will upload more footage from these walks on my YouTube channel.,transitive,transitive,causative,causative,animate,animate,agent,agent,I,upload,more footage from these walks on my YouTube channel
The rapper had been uploading videos to TikTok since the end of last year.,transitive,transitive,causative,causative,animate,animate,agent,agent,The rapper,uploading,videos to TikTok
He's been uploading videos so students can stay caught up despite quarantine.,transitive,transitive,causative,causative,animate,inanimate,agent,agent,He,uploading,videos
"Once you've been uploading content regularly, you'll start to notice the trend on how each post performs.",transitive,transitive,causative,causative,animate,inanimate,agent,agent,you,uploading,content
The cast members have also been uploading photos onto social media.,transitive,transitive,causative,causative,animate,animate,agent,agent,cast members,uploading,photos onto social media
The parody videos that' Squid Game' viewers have been uploading are so fun.,transitive,transitive,causative,anticausative,animate,inanimate,agent,agent,viewers,uploading,the parody videos
Some even think we will eventually upload ourselves into silicon brains or virtual worlds and escape our carbon bodies altogether.,transitive,transitive,causative,causative,animate,animate,agent,agent,we,upload,ourselves into silicon brains or virtual worlds
