text,transitivity,gpt_transitivity,causativity,gpt_causativity,subject_animacy,gpt_subject_animacy,subject_role,gpt_subject_role,gpt_subject,gpt_verb,gpt_object
Download our local news and weather app for iOS or Android -- and choose the alerts you want.,transitive,transitive,causative,causative,animate,animate,agent,agent,(You),download,our local news and weather app for iOS or Android
"As Dunleavy put it: "" Anyone can create a copy of an existing blockchain just by running a full node and downloading the history of the chain, but if people don't recognize or use the forked chain, then all assets on it are worthless.",transitive,transitive,causative,causative,animate,animate,agent,agent,anyone,downloading,the history of the chain
"In her reply, the 18-year-old Olympian suggested, "" Anyone can download a VPN, "" adding that it is "" literally free on the App Store.",transitive,transitive,causative,causative,animate,animate,agent,agent,anyone,download,a VPN
You can also download the vote-by-mail application and mail it to your county clerk's office.,transitive,transitive,causative,causative,animate,animate,agent,agent,You,download,the vote-by-mail application
"If you read BGR, you probably download software updates as soon as they're available.",transitive,transitive,causative,causative,animate,animate,agent,agent,you,download,software updates
Videos that claim to offer ways to hack and cheat at several popular games actually download malware that includes a password-stealing program called Redline.,transitive,transitive,causative,causative,inanimate,inanimate,agent,agent,Videos that claim to offer ways to hack and cheat at several popular games,download,malware that includes a password-stealing program called Redline
Read on to find out how to stream the Black Panther sequel online and where to watch and download the original Black Panther right now.,transitive,transitive,causative,causative,animate,animate,agent,agent,you (implied),download,the original Black Panther
"The Fallout franchise has posted record sales and received dozens of Game of the Year awards, while its mobile game, Fallout Shelter, has been downloaded more than 170 million times.",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,Fallout Shelter,downloaded,
Download our local news and weather app for Apple or Android -- and choose the alerts you want.,transitive,transitive,causative,causative,animate,animate,agent,agent,you (implied),download,our local news and weather app
"To download the admit card, candidates can follow these simple steps given below.",transitive,intransitive,causative,causative,animate,animate,agent,agent,candidates,download,the admit card
"Drag the file that starts with "" emaillist "" from the ZIP file you downloaded earlier.",transitive,transitive,causative,causative,animate,animate,agent,agent,you,downloaded,the ZIP file
"From now until 28 February 2022, all Hong Kong residents aged 18 to 80 can enjoy 90-day complimentary protection for accidents arising from playing any sports in a non-professional capacity1, including home workouts, by downloading Emma by AXA app and co.",transitive,intransitive,causative,causative,animate,animate,agent,agent,all Hong Kong residents aged 18 to 80,downloading,Emma by AXA app and co
Download our local news and weather app for iOSorAndroid -- and choose the alerts you want,transitive,transitive,causative,causative,animate,animate,agent,agent,(You),download,our local news and weather app for iOS or Android
"On Monday, Uefa released tickets as part of its last resale, and Ms Hickman added: "" Everyone got the Uefa login downloaded and we had about six or seven people trying on their phones on the journey to try and get tickets.",transitive,intransitive,causative,anticausative,animate,inanimate,agent,patient,the Uefa login,downloaded,
"NOTE TO USER: User expressly acknowledges and agrees that, by downloading and or using this Photograph, user is consenting to the terms and conditions of the Getty Images License Agreement.",transitive,intransitive,causative,causative,animate,animate,agent,agent,user,downloading,
"Oakmark Funds, an investment management firm, published its "" Oakmark Global Select Fund "" second quarter 2022 investor letter -- a copy that can be downloaded here.",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,a copy,downloaded,
Download our local news and weather app for iOS or Android -- and choose the alerts you want.,transitive,transitive,causative,causative,animate,animate,agent,agent,you (implied),download,our local news and weather app
Simply download a book if you want to read it.,transitive,transitive,causative,causative,animate,animate,agent,agent,you,download,a book
Download our local news and weather app foriOSorAndroid -- and choose the alerts you want.,transitive,transitive,causative,causative,animate,animate,agent,agent,(You),download,our local news and weather app
"At the time, TikTok wasn't even a blip on my radar, so imagine my surprise when I finally downloaded the app and learned that TikTok personality Christina Najjar, aka Tinx, was the real Santa Claus behind all of my new favorite products.",transitive,transitive,causative,causative,animate,animate,agent,agent,I,downloaded,the app
This will not impact any Xbox 360 games that you downloaded before October 2022.,transitive,transitive,causative,causative,animate,inanimate,agent,agent,you,downloaded,any Xbox 360 games
"With over 25 million real guest reviews and an app so easy to use that it's been downloaded 70 million times, you can be sure to find the perfect place for you.",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,it,downloaded,
"Then, type "" sudo apt full-upgrade "" to download and install all of the updates.",transitive,transitive,causative,causative,animate,animate,agent,agent,you,download,all of the updates
Steps to download CTET 2021 response sheet:,transitive,transitive,causative,causative,animate,animate,agent,agent,you (implied),download,CTET 2021 response sheet
"We recently learned that an employee of Customer.io, our email delivery vendor, misused their employee access to download and share email addresses -- provided by OpenSea users and subscribers to our newsletter -- with an unauthorised external party.",transitive,transitive,causative,causative,animate,animate,agent,agent,an employee of Customer.io,download,email addresses
Download and Upgrade the Volcanoes & Earthquakes app to get one of the fastest seismic and volcano alerts online:,transitive,transitive,causative,causative,animate,animate,agent,agent,(You),download,the Volcanoes & Earthquakes app
Download our local news and weather app for iOSorAndroid -- and choose the alerts you want.,transitive,transitive,causative,causative,animate,animate,agent,agent,you (implied),download,our local news and weather app
Many guys race through creating their profiles after downloading a dating app so they can begin swiping ASAP.,transitive,transitive,causative,causative,animate,animate,agent,agent,many guys,downloading,a dating app
"Victims of cybercrimes can suffer identity theft, a loss of money and dangerous ransomware or malware downloaded on their computers.",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,ransomware or malware,downloaded,on their computers
Download our local news and weather app for iOSorAndroid -- and choose the alerts you want.,transitive,transitive,causative,causative,animate,animate,agent,agent,you (implied),download,our local news and weather app
"With hundreds of frames to choose from, things can feel a little overwhelming at first, but if you download Warby Parker's app, you can access a virtual try-on feature that allows you to quickly swipe through all the options while they display on your face.",transitive,transitive,causative,causative,animate,animate,agent,agent,you,download,Warby Parker's app
Download and Upgrade the Volcanoes & Earthquakes app to get one of the fastest seismic and volcano alerts online:Android IOS ,transitive,transitive,causative,causative,animate,animate,agent,agent,(You),download,the Volcanoes & Earthquakes app
"Now, as you use Google Maps for directions in the area you downloaded a map for, when you lose your cellular connection Maps will switch to the offline map to guide you.",transitive,transitive,causative,causative,animate,animate,agent,agent,you,downloaded,a map
Download our local news and weather app for iOS or Android -- and choose the alerts you want.,transitive,transitive,causative,causative,animate,animate,agent,agent,(You),download,our local news and weather app for iOS or Android
"Once registered, Bidders can download the complete set of documents in.",transitive,transitive,causative,causative,animate,animate,agent,agent,Bidders,download,the complete set of documents
Download our local news and weather app for Apple or Android -- and choose the alerts you want.,transitive,transitive,causative,causative,animate,animate,agent,agent,(You),download,our local news and weather app
Flavor lovers can sign up for QDOBA Rewards by downloading the QDOBA App at the? ,transitive,transitive,causative,causative,animate,animate,agent,agent,Flavor lovers,downloading,the QDOBA App
"The Premium Plan is $9.99 per month and you can watch your local CBS live stream, including plenty of sports like Champions League, Italian Serie A, SEC on CBS, and the PGA Tour, with no ads, on demand and the ability to download episodes for offline viewing.",transitive,transitive,causative,causative,animate,animate,agent,agent,you,download,episodes
Learn how to download Netflix shows.,transitive,transitive,causative,causative,animate,animate,agent,agent,you (implied),download,Netflix shows
"Once DiscordSetup.exe finishes downloading, click on the file to start the installation.",intransitive,intransitive,anticausative,anticausative,inanimate,inanimate,patient,patient,DiscordSetup.exe,downloading,
"Andvari Associates, an investment management firm, published its second-quarter 2022 investor letter -- a copy of which can be downloaded here.",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,a copy of which,downloaded,
"For some San Francisco visitors who arrive at SFO and want to take BART, the first Californian to greet them may very well be a member of an outreach team, there to guide them through downloading a Clipper card on their smartphones.",transitive,transitive,causative,causative,animate,animate,agent,agent,a member of an outreach team,downloading,a Clipper card on their smartphones
View original content to download multimedia:,transitive,intransitive,causative,anticausative,animate,inanimate,agent,agent,you (implied),download,multimedia
Download our local news and weather app for Apple or Android -- and choose the alerts you want.,transitive,transitive,causative,causative,animate,animate,agent,agent,(You),download,our local news and weather app for Apple or Android
Just be sure to download the companion app from the Play Store -- there's no need to get it from Xiaomi's source.,transitive,transitive,causative,causative,animate,animate,agent,agent,you,download,the companion app
Note that these out of band updates are not located on Windows Update or WSUS but must be manually downloaded and installed.,intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,these out of band updates,downloaded,
Download the WTAE mobile app to stay connected with breaking news.,transitive,transitive,causative,causative,animate,animate,agent,agent,(You),download,the WTAE mobile app
"As is common practice with almost all professional websites, https: //cyprus-mail.com (our "" Site "") uses cookies, which are tiny files that are downloaded to your device, to improve your experience.",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,files,downloaded,
"Polen Capital, an investment management firm, published its "" Polen Focus Growth "" fourth quarter 2021 investor letter -- a copy of which can be downloaded here.",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,a copy of which,downloaded,
"Now that you have your new, shiny Roomba ready to go, start by downloading the iRobot Home app (not to be confused with the Apple Home app), which you can find available in both iOS and Android.",transitive,transitive,causative,causative,animate,animate,agent,agent,you,downloading,the iRobot Home app
We spent six hours at the beach the other day and I downloaded some of my TV from Netflix to catch up on and used a large towel and draped it over the sides of the headrest and had my own little personal theater in the fresh air! It's very light and easy to carry and the sand comes off super easily.,transitive,transitive,causative,causative,animate,animate,agent,agent,I,downloaded,some of my TV from Netflix
"The amount of data used depends on the device you are using, the route taken and its length, maps downloaded, time of the day, day of the week, number of reports and traffic, number of active drivers, and other factors.",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,maps,downloaded,
"You'll want to keep the app downloaded for basketball and baseball season, too.",transitive,intransitive,causative,anticausative,animate,inanimate,agent,patient,the app,downloaded,
"Download the ABC News app and select "" The Note "" as an item of interest to receive the day's sharpest political analysis.",transitive,transitive,causative,causative,animate,animate,agent,agent,(You),download,the ABC News app
Download the selected app and check if the stickers are working fine?,transitive,transitive,causative,causative,animate,animate,agent,agent,(You),download,the selected app
Never download apps from QR codes.,transitive,transitive,causative,causative,animate,animate,agent,agent,(You),download,apps
"To find out more about how Way can simplify your car ownership journey, download the free app on Google Play or in the App Store.",transitive,intransitive,causative,causative,animate,animate,agent,agent,(implied you),download,the free app
"TikTok, for example, already allows you to watch videos as soon as you download the app, so it makes sense for Twitter to remove onboarding roadblocks for users to try its network.",transitive,transitive,causative,causative,animate,animate,agent,agent,you,download,the app
"I downloaded this app more than two months ago, even got sent a package from them to become an ambassador, and STILL have not been accepted onto the app.",transitive,transitive,causative,causative,animate,animate,agent,agent,I,downloaded,this app
"Most people around this area wouldn't download this app, much less send an invite, "" this user wrote.",transitive,transitive,causative,causative,animate,animate,agent,agent,Most people around this area,download,this app
A copy of the same can be downloaded here.,intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,A copy of the same,downloaded,
"Your phone will then restore your settings and preferences, and you'll be able to start using it in about 15 minutes while it finishes downloading your installed apps.",transitive,transitive,causative,causative,inanimate,inanimate,agent,agent,it,downloading,your installed apps
"Plus, if you download the free Instant Brands Connect App, you'll find access to over 800 step-by-step recipes you can follow along to make a slew of delicious single-pot instant meals.",transitive,transitive,causative,causative,animate,animate,agent,agent,you,download,the free Instant Brands Connect App
